#separator:tab
#html:false

# Espressioni comuni (Gyakori kifejezések)
Come va?	Hogy vagy?
vostro	tiétek (hímnem, egyes szám)
vostra	tiétek (nőnem, egyes szám)
vostri	tiéitek (hímnem, többes szám)
vostre	tiéitek (nőnem, többes szám)

loro	övék (minden esetben)

# Pronomi dimostrativi (Mutató névmások)
questo	ez (hímnem, egyes szám)
questa	ez (nőnem, egyes szám)
questi	ezek (hímnem, többes szám)
queste	ezek (nőnem, többes szám)

quello	az (hímnem, egyes szám)
quella	az (nőnem, egyes szám)
quelli	azok (hímnem, többes szám)
quelle	azok (nőnem, többes szám)

# Pronomi interrogativi (Kérdő névmások)
chi	ki?
che / cosa / che cosa	mi? mit?
quale	melyik?
quali	melyek?
quanto	mennyi? (hímnem, egyes szám)
quanta	mennyi? (nőnem, egyes szám)
quanti	mennyik? (hímnem, többes szám)
quante	mennyik? (nőnem, többes szám)

# Pronomi relativi (Vonatkozó névmások)
che	aki, ami
cui	akinek, aminek (vonzatos esetekben)
il quale	aki (hímnem, egyes szám)
la quale	aki (nőnem, egyes szám)
i quali	akik (hímnem, többes szám)
le quali	akik (nőnem, többes szám)

# Pronomi indefiniti (Határozatlan névmások)
qualcuno	valaki
qualcosa	valami
ognuno	mindenki
nessuno	senki
niente / nulla	semmi
tutto	minden
alcuni	néhányan (hímnem)
alcune	néhányan (nőnem)
diversi	többen (hímnem)
diverse	többen (nőnem)

# Pronomi riflessivi (Visszaható névmások)
mi	magam
ti	magad
si	maga / magát (ő, ön)
ci	magunkat
vi	magatokat
si	magukat

il volantino	szórólap
la manifestazione	rendezvény, megmozdulás
l'inquinamento (m)	szennyezés
l'insegnante (m/f)	tanár, tanító
Maschile	hímnem
Femminile	nőnem
singolare	egyes szám
plurale	többes szám
la pasta	tészta
il formaggio	sajt
il prosciutto	sonka
la frutta	gyümölcs
la birra	sör
la verdura	zöldség
l'acqua (f)	víz
l'aglio (m)	fokhagyma
il gelato	fagylalt
l'olio (m)	olaj
la marmellata	lekvár
il burro	vaj
la penna	toll

il cantante	énekes
la cantante	énekesnő
il ragazzo	fiú
la ragazza	lány
la dottoressa	doktornő
lo studente	diák (fiú)
la studentessa	diák (lány)
il commesso	bolti eladó (férfi)
la commessa	bolti eladó (nő)
l'italiana (f)	olasz nő
l'italiano (m)	olasz férfi
il marito	férj
la moglie	feleség
la madre	anya
il padre	apa
l'attore (m)	színész
l'attrice (f)	színésznő
l'insegnante (m/f)	tanár, tanító
il segretario	titkár
la segretaria	titkárnő
il cameriere	pincér
la cameriera	pincérnő
il dottore	orvos
l'uomo (m)	férfi

la pensione	nyugdíj, panzió
la borsa	táska, tőzsde
la patata	krumpli
il tavolo	asztal
l'impiegato (m)	alkalmazott (férfi)
la gente	emberek, nép
l'infermiera (f)	ápolónő
l'orologio (m)	óra (karóra, falióra)
la passione	szenvedély
la bicicletta	bicikli
il lavoro	munka
l'ambizione (f)	ambíció
la stazione	pályaudvar, állomás
l'estate (f)	nyár
l'ora (f)	óra (időtartam)
la televisione	televízió
il libro	könyv
la nave	hajó
il cane	kutya
la luce	fény
la chiave	kulcs
il treno	vonat
l'errore (m)	hiba
la casa	ház, otthon
la cucina	konyha

il caldo	meleg
arrabbiato	mérges, dühös
triste	szomorú
la fame	éhség
contento	elégedett, boldog
la sete	szomjúság
sorpreso	meglepett
il freddo	hideg

# Verbi (Igék)
regalare	ajándékozni
aspettare	várni
guardare	nézni
ascoltare	hallgatni
incontrare	találkozni
amare	szeretni
telefonare	telefonálni
pagare	fizetni
giocare	játszani
ballare	táncolni
scrivere	írni
credere	hinni
spendere	költeni (pénzt)
scendere	leszállni, lemenni
conoscere	ismerni
accendere	felkapcsolni, meggyújtani
vedere	látni
prendere	venni, fogni
chiudere	becsukni, bezárni
ricevere	kézhez kapni
partire	elindulni, elutazni
offrire	felkínálni, meghívni
soffrire	szenvedni
pulire	takarítani, tisztítani
capire	érteni
sentire	hallani, érezni
finire	befejezni
seguire	követni
aprire	kinyitni
preferire	jobban szeretni, előnyben részesíteni

# Sostantivi (Főnevek)
il giornale	újság
la moda	divat
la fermata	megálló
la chiave	kulcs
l'aperta (f)	nyitott (állapot)
il bagno	fürdőszoba
matrimoniale	dupla, franciaágyas (szoba)
le camere	szobák
la singola	egyágyas szoba
la doppia	kétágyas szoba
la colazione	reggeli
facile	könnyű, egyszerű

# Verbo "andare" (Menni ige)
andare	menni
vado	megyek
vai	mész
va	megy
andiamo	megyünk
andate	mentek
vanno	mennek

# Verbo "essere" (Lenni ige)
essere	lenni
sono	(én) vagyok
sei	(te) vagy
è	(ő) van
siamo	(mi) vagyunk
siete	(ti) vagytok
sono	(ők) vannak

# Verbo "avere" (Birtokolni ige)
avere	birtokolni, van valamije
ho	(nekem) van
hai	(neked) van
ha	(neki) van
abbiamo	(nekünk) van
avete	(nektek) van
hanno	(nekik) van

# Verbo "fare" (Csinálni ige)
fare	csinálni, tenni
faccio	(én) csinálok
fai	(te) csinálsz
fa	(ő) csinál
facciamo	(mi) csinálunk
fate	(ti) csináltok
fanno	(ők) csinálnak

# Numeri cardinali (Számok)

zero	nulla
uno	egy
due	kettő
tre	három
quattro	négy
cinque	öt
sei	hat
sette	hét
otto	nyolc
nove	kilenc
dieci	tíz
undici	tizenegy
dodici	tizenkettő
tredici	tizenhárom
quattordici	tizennégy
quindici	tizenöt
sedici	tizenhat
diciassette	tizenhét
diciotto	tizennyolc
diciannove	tizenkilenc
venti	húsz
ventuno	huszonegy
ventidue	huszonkettő
ventitré	huszonhárom
ventiquattro	huszonnégy
venticinque	huszonöt
ventisei	huszonhat
ventisette	huszonhét
ventotto	huszonnyolc
ventinove	huszonkilenc
trenta	harminc
quaranta	negyven
cinquanta	ötven
sessanta	hatvan
settanta	hetven
ottanta	nyolcvan
novanta	kilencven
cento	száz

# Paesi e nazionalità (Országok és nemzetiségek)

la Grecia	Görögország  
greco	görög  
l'Argentina	Argentína  
argentino	argentin  
la Germania	Németország  
tedesco	német  
la Russia	Oroszország  
russo	orosz  
i Paesi Bassi	Hollandia  
olandese	holland  
il Canada	Kanada  
canadese	kanadai  
l'Italia	Olaszország  
italiano	olasz  
l'Inghilterra	Anglia  
inglese	angol  
l'Europa	Európa  
europeo	európai  
l'India	India  
indiano	indiai  
gli Stati Uniti d'America	Egyesült Államok  
americano	amerikai  
la Cina	Kína  
cinese	kínai  
l'Irlanda	Írország  
irlandese	ír  
la Croazia	Horvátország  
croato	horvát  
la Svezia	Svédország  
svedese	svéd  
il Messico	Mexikó  
messicano	mexikói  
la Polonia	Lengyelország  
polacco	lengyel  
la Spagna	Spanyolország  
spagnolo	spanyol  
la Svizzera	Svájc  
svizzero	svájci  
l'Austria	Ausztria  
austriaco	osztrák  
la Francia	Franciaország  
francese	francia  
il Giappone	Japán  
giapponese	japán  
il Portogallo	Portugália  
portoghese	portugál  
la Corea	Korea  
coreano	koreai  
l'Ungheria	Magyarország  
ungherese	magyar  

# Verbi (Igék)

giocare	játszani  
comprare	venni, vásárolni  
pagare	fizetni  
suonare	hangszeren játszani  
mangiare	enni  
guardare	nézni  
leggere	olvasni  
studiare	tanulni  
chiudere	becsukni, bezárni  
preferire	előnyben részesíteni  
spegnere	kikapcsolni, eloltani  
accendere	felkapcsolni, meggyújtani 

